Date,France_recovered,Germany_recovered,Italy_recovered,Spain_recovered,UK_recovered,France_cases,Germany_cases,Italy_cases,Spain_cases,UK_cases,France_tests,Germany_tests,Italy_tests,Spain_tests,UK_tests,France_deaths,Germany_deaths,Italy_deaths,Spain_deaths,UK_deaths
1/22/20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/23/20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/24/20,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/25/20,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/26/20,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/27/20,0,0,0,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/28/20,0,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/29/20,0,0,0,0,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/30/20,0,0,0,0,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/20,0,0,0,0,0,5,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/20,0,0,0,0,0,6,8,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/2/20,0,0,0,0,0,6,10,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/3/20,0,0,0,0,0,6,12,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/4/20,0,0,0,0,0,6,12,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/5/20,0,0,0,0,0,6,12,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/6/20,0,0,0,0,0,6,12,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/7/20,0,0,0,0,0,6,13,3,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/8/20,0,0,0,0,0,11,13,3,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/9/20,0,0,0,0,0,11,14,3,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/10/20,0,0,0,0,0,11,14,3,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/11/20,0,0,0,0,0,11,16,3,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/12/20,2,0,0,0,1,11,16,3,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/13/20,2,1,0,0,1,11,16,3,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/14/20,2,1,0,0,1,11,16,3,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/15/20,4,1,0,2,1,12,16,3,2,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2/16/20,4,1,0,2,8,12,16,3,2,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2/17/20,4,1,0,2,8,12,16,3,2,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2/18/20,4,12,0,2,8,12,16,3,2,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2/19/20,4,12,0,2,8,12,16,3,2,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2/20/20,4,12,0,2,8,12,16,3,2,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2/21/20,4,14,0,2,8,12,16,20,2,23,NA,NA,NA,NA,NA,1,NA,1,NA,NA
2/22/20,4,14,1,2,8,12,16,62,2,23,NA,NA,NA,NA,NA,1,NA,2,NA,NA
2/23/20,4,14,2,2,8,12,16,155,2,28,3318,NA,NA,NA,NA,1,NA,3,NA,NA
2/24/20,4,14,1,2,8,12,16,229,2,30,NA,NA,4324,NA,NA,1,NA,7,NA,NA
2/25/20,11,14,1,2,8,14,17,322,6,34,NA,NA,8623,NA,NA,1,NA,10,NA,NA
2/26/20,11,15,3,2,8,18,27,453,13,37,NA,NA,9587,NA,NA,2,NA,12,NA,NA
2/27/20,11,16,45,2,8,38,46,655,15,44,NA,NA,12014,NA,NA,2,NA,17,NA,NA
2/28/20,11,16,46,2,8,57,48,888,32,56,NA,NA,15695,NA,NA,2,NA,21,NA,NA
2/29/20,12,16,46,2,8,100,79,1128,45,61,NA,NA,18661,NA,NA,2,NA,29,NA,NA
3/1/20,12,16,83,2,8,130,130,1694,84,94,14419,NA,21127,NA,NA,2,NA,34,NA,NA
3/2/20,12,16,149,2,8,191,159,2036,120,134,NA,NA,23345,NA,NA,3,NA,52,NA,NA
3/3/20,12,16,160,2,8,212,196,2502,165,189,NA,NA,25856,NA,NA,4,NA,79,1,NA
3/4/20,12,16,276,2,8,288,262,3089,222,246,NA,NA,29837,NA,NA,4,NA,107,2,NA
3/5/20,12,16,414,2,8,426,482,3858,259,295,NA,NA,32362,NA,NA,7,NA,148,3,NA
3/6/20,12,17,523,2,8,616,670,4636,400,374,NA,NA,36359,NA,NA,9,NA,197,5,1
3/7/20,12,18,589,30,18,948,799,5883,500,429,NA,NA,42062,NA,NA,16,NA,233,10,2
3/8/20,12,18,622,30,18,1125,1040,7375,673,483,44042,NA,49937,NA,NA,19,NA,366,17,2
3/9/20,12,18,724,32,18,1411,1176,9172,1073,630,NA,NA,53826,NA,NA,25,2,463,28,3
3/10/20,12,18,724,32,18,1783,1457,10149,1695,889,NA,NA,60761,NA,NA,33,2,631,35,7
3/11/20,12,25,1045,183,18,2293,1908,12462,2277,1301,NA,NA,73154,NA,NA,48,3,827,54,7
3/12/20,12,25,1045,183,18,2293,2078,15113,2277,1790,NA,NA,86011,NA,NA,48,3,1016,55,9
3/13/20,12,46,1439,193,18,3681,3675,17660,5232,2270,NA,NA,97488,NA,NA,79,7,1266,133,10
3/14/20,12,46,1966,517,18,4496,4585,21157,6391,2634,NA,NA,109170,NA,NA,91,9,1441,195,29
3/15/20,12,46,2335,517,18,4532,5795,24747,7798,3077,117277,129291,124899,NA,NA,91,11,1809,289,43
3/16/20,12,67,2749,530,20,6683,7272,27980,9942,3692,NA,NA,137962,NA,NA,149,17,2158,342,66
3/17/20,12,67,2941,1028,52,7715,9257,31506,11748,4462,NA,NA,148657,NA,NA,149,24,2503,533,83
3/18/20,12,105,4025,1081,65,9124,12327,35713,13910,5468,NA,NA,165541,NA,NA,149,28,2978,623,118
3/19/20,12,113,4440,1107,65,10970,15320,41035,17963,6534,NA,NA,182777,NA,NA,244,44,3405,830,164
3/20/20,12,180,4440,1588,65,12758,19848,47021,20410,7792,NA,NA,206886,NA,NA,451,67,4032,1043,196
3/21/20,12,233,6072,2125,65,14463,22213,53578,25374,9007,NA,NA,233222,NA,NA,563,84,4825,1375,254
3/22/20,2200,266,7024,2575,65,16758,24873,59138,28768,10395,240147,503825,258402,NA,NA,676,94,5476,1772,289
3/23/20,2200,266,7024,2575,65,20123,29056,63927,35136,12744,NA,NA,275468,NA,NA,862,123,6077,2311,365
3/24/20,3243,3243,8326,3794,135,22372,32986,69176,39885,15126,NA,NA,296964,NA,NA,1102,157,6820,2808,513
3/25/20,3900,3547,9362,5367,135,25334,37323,74386,49515,17843,NA,NA,324445,NA,NA,1333,206,7503,3647,704
3/26/20,4948,5673,10361,7015,135,29252,43938,80589,57786,20970,NA,NA,361060,NA,NA,1697,267,8215,4365,886
3/27/20,5700,6658,10950,9357,135,33047,50871,86498,65719,24219,NA,NA,394079,NA,NA,1996,342,9134,5138,1174
3/28/20,5700,8481,12384,12285,135,37692,57695,92472,73235,27062,NA,NA,429526,NA,NA,2314,433,10023,5982,1466
3/29/20,7202,9211,13030,14709,135,40295,62095,97689,80110,29954,367176,881424,454030,NA,NA,2608,533,10779,6803,1679
3/30/20,7927,13500,14620,16780,135,44649,66885,101739,87956,34281,NA,NA,477359,NA,NA,3026,645,11591,7716,2053
3/31/20,9444,16100,15729,19259,135,52278,71808,105792,95923,38815,NA,NA,506968,NA,155174,3526,775,12428,8464,2457
4/1/20,10934,18700,16847,22647,135,57122,77872,110574,104118,43789,NA,NA,541423,NA,167098,4778,920,13155,9387,3130
4/2/20,12428,22440,18278,26743,135,59228,84794,115242,112065,48718,NA,NA,581232,NA,182047,5387,1107,13915,10348,3787
4/3/20,14008,24575,19758,30513,135,64452,91159,119827,119199,53699,NA,NA,619849,NA,222937,6509,1275,14681,11198,4524
4/4/20,15438,26400,20996,34219,135,47378,96092,124632,126168,57772,NA,NA,657224,NA,238836,7562,1444,15362,11947,5281
4/5/20,16183,28700,21815,38080,135,48233,100123,128948,131646,61422,507492,1299070,691461,NA,251569,8081,1584,15887,12641,5882
4/6/20,17250,28700,22837,40437,135,50887,103374,132547,136675,66738,NA,NA,721732,NA,265885,8914,1810,16523,13341,6452
4/7/20,19337,36081,24392,43208,135,47396,107663,135586,141942,72224,NA,NA,755445,NA,280304,10330,2016,17127,14045,7557
4/8/20,21254,46300,26491,48021,135,51251,113296,139422,148220,77387,NA,NA,807125,NA,296747,10874,2349,17669,14792,8589
4/9/20,23206,52407,28470,52165,135,55035,118181,143626,153222,82293,NA,NA,853369,NA,315141,12214,2607,18279,15447,9706
4/10/20,24932,53913,30455,55668,344,56600,122171,147577,158273,86660,NA,NA,906864,NA,332925,13199,2767,18849,16081,10829
4/11/20,26391,57400,32534,59109,344,58045,124908,152271,163027,90273,NA,NA,963473,NA,350575,13835,2736,19468,16606,11673
4/12/20,27186,60300,34211,62391,344,108791,127854,156363,166831,93812,652593,1685311,1010193,NA,365081,14396,3022,19899,17209,12330
4/13/20,27718,64300,35435,64727,NA,111932,130072,159516,170099,98017,NA,NA,1046910,930230,379649,14969,3194,20465,17756,13055
4/14/20,28512,68200,37130,67504,NA,129380,131359,162488,172541,102365,NA,NA,1073689,NA,395912,15712,3294,21067,18056,14135
4/15/20,30440,72600,38092,70853,NA,132588,134753,165155,177644,107465,NA,NA,1117404,NA,414469,17150,3804,21645,18708,15019
4/16/20,32297,77000,40164,74797,NA,145166,137698,168941,184948,112808,NA,NA,1178403,NA,435389,17903,4052,22170,19315,16059
4/17/20,33834,83114,42727,74797,NA,147057,141397,172434,190839,117798,NA,NA,1244108,NA,456527,18664,4352,22745,20002,16973
4/18/20,35379,85400,44927,74797,NA,150863,143342,175925,191726,122534,NA,NA,1305833,NA,477776,19305,4459,23227,20043,18081
4/19/20,35973,88000,47055,77357,NA,151955,145184,178972,198674,126394,804988,2025294,1356541,NA,497092,19694,4586,23660,20453,18514
4/20/20,36782,91500,48877,80587,NA,154402,147065,181228,200210,131260,NA,NA,1398024,NA,532229,20241,4862,24114,20852,19090
4/21/20,38543,95200,51600,82514,NA,157068,148291,183957,204178,136035,NA,NA,1450150,NA,554992,20769,5033,24648,21282,20314
4/22/20,39988,99400,54543,85915,NA,158868,150648,187327,208389,141540,NA,NA,1513251,NA,578066,21313,5279,25085,21717,21171
4/23/20,41414,103300,57576,89250,NA,157158,153129,189973,213024,146708,NA,NA,1579909,1035522,606093,21829,5575,25549,22157,21855
4/24/20,42715,109800,60498,92355,NA,159969,154999,192994,202990,151689,NA,NA,1642356,NA,634319,22219,5760,25969,22524,22873
4/25/20,43816,109800,63120,95708,NA,161647,156513,195351,205905,155453,NA,NA,1707743,NA,663377,22588,5877,26384,22902,23689
4/26/20,44125,112000,64928,98372,NA,162280,157770,197675,207634,158926,926289,2388953,1757659,NA,694987,22830,5976,26644,23190,24053
4/27/20,44733,114500,66624,100875,NA,165966,158758,199414,209465,163630,NA,NA,1789662,NA,726553,23267,6126,26977,23521,24376
4/28/20,45997,117400,68941,102548,NA,169098,159912,201505,210773,168357,NA,NA,1846934,NA,771817,23634,6314,27359,23822,25347
4/29/20,47338,120400,71252,108947,NA,167643,161539,203591,212917,173807,NA,NA,1910761,NA,839597,24060,6467,27682,24275,26118
4/30/20,48572,123500,75945,112050,NA,168861,163009,205463,213435,178771,NA,NA,1979217,1351130,922684,24349,6623,27967,24543,26754
5/1/20,49300,126900,78249,112050,NA,169387,164077,207428,215216,183501,NA,NA,2053425,NA,996826,24566,6736,28236,24543,27454
5/2/20,49751,129000,79914,117248,NA,170179,164967,209328,216582,186731,NA,NA,2108837,NA,1060387,24763,6812,28710,25100,28039
5/3/20,49973,130600,81654,118902,NA,170540,165664,210717,217466,189708,1046697,2716752,2153772,NA,1128590,24898,6866,28884,25264,28292
5/4/20,50438,132700,82879,121343,NA,171102,166152,211938,218011,193091,NA,NA,2191403,NA,1208190,25204,6993,29079,25428,28565
5/5/20,51803,135100,85231,123486,NA,172219,167007,213013,219329,196780,NA,NA,2246666,NA,1270344,25537,6993,29315,25613,29290
5/6/20,53022,139900,93245,126002,NA,176355,168162,214457,220325,200616,NA,NA,2310929,NA,1347190,25812,7275,29684,25857,29937
5/7/20,54076,141700,96276,128511,NA,177096,169430,215858,221447,204387,NA,NA,2381288,1625211,1424655,25991,7392,29958,26070,30395
5/8/20,54770,141700,99023,131148,NA,177627,170588,217185,222857,207439,NA,NA,2445063,NA,1501622,26233,7510,30201,26299,30975
5/9/20,54886,143300,103031,133952,NA,178156,171324,218268,223578,209589,NA,NA,2514234,NA,1578774,26313,7549,30395,26478,31250
5/10/20,55062,144400,105186,136166,NA,178405,171879,219070,224350,211911,1197769,3102390,2565912,NA,1655281,26383,7569,30560,26621,31467
5/11/20,55569,145617,106587,137139,NA,178719,172576,219814,227436,215500,NA,NA,2606652,NA,1725696,26646,7661,30739,26744,31655
5/12/20,56617,147200,109039,138980,NA,179472,173171,221216,228030,218895,NA,NA,2673655,NA,1800289,26994,7738,30911,26920,32270
5/13/20,57368,148700,112541,140823,NA,179993,174098,222104,228691,222195,NA,NA,2735628,NA,1884165,27079,7861,31106,27104,32718
5/14/20,58300,150300,115288,143374,NA,180635,174478,223096,229540,224813,NA,NA,2807504,1919411,1968871,27430,7884,31368,27321,33071
5/15/20,59143,151597,120205,144783,NA,181148,175233,223885,230183,227334,NA,NA,2875680,NA,2060212,27532,7897,31610,27459,33422
5/16/20,59142,152600,122810,146446,NA,181563,175752,224760,230698,229406,NA,NA,2944859,NA,2151572,27630,7938,31763,27563,33833
5/17/20,59907,154011,125176,146446,NA,181703,176369,225435,230698,231232,1432650,3534072,3004960,NA,2232850,28113,7962,31908,27563,33900
5/18/20,60416,155041,127326,150376,NA,182147,176551,225886,231606,233809,NA,NA,3041366,NA,2302976,28242,8003,32007,27709,34046
5/19/20,61246,155681,129401,150376,NA,182648,177778,226699,232037,236867,NA,NA,3104524,NA,2380736,28025,8081,32169,27778,34547
5/20/20,61713,156966,132282,NA,NA,183130,178473,227364,232555,239579,NA,NA,3171719,NA,2467369,28136,8144,32330,27888,34876
5/21/20,62216,158087,134560,NA,NA,183397,179021,228006,233037,242133,NA,NA,3243398,2221497,2573033,28218,8203,32486,27940,35149
5/22/20,62557,159064,136720,NA,NA,184153,179710,228658,234824,244174,NA,NA,3318778,NA,2664230,28366,8228,32616,28628,35440
5/23/20,62893,159716,138840,NA,NA,184699,179986,229327,235290,245682,NA,NA,3391188,NA,2756068,28452,8261,32735,28678,35660
5/24/20,62961,160281,140479,NA,NA,184260,180328,229858,235772,247037,1689912,3890561,3447012,NA,2815535,28372,8283,32785,28752,36039
5/25/20,63542,161199,141981,NA,NA,184585,180600,230158,235400,248650,NA,NA,3482253,NA,2963880,28461,8309,32877,26834,36143
5/26/20,64222,161967,144658,NA,NA,184840,181200,230555,236259,250309,NA,NA,3539927,NA,3041801,28598,8372,32955,27117,36274
5/27/20,64503,162820,147101,NA,NA,185012,181524,231139,236259,252118,NA,NA,3607251,NA,3124473,28599,8428,33072,27117,36696
5/28/20,65098,163360,150604,NA,NA,188355,182196,231732,237906,253854,NA,NA,3683144,2536234,3226227,28666,8470,33142,27119,37039
5/29/20,65599,164245,152844,NA,NA,188949,182922,232248,238564,255362,NA,NA,3755279,NA,3331686,28717,8504,33229,27121,37313
5/30/20,66051,164908,155633,NA,NA,190744,183189,232664,239228,256469,NA,NA,3824621,NA,3428684,28774,8530,33340,27125,37467
5/31/20,66123,165352,157507,NA,NA,190975,183410,232997,239479,257539,1892336,4298639,3878739,NA,3510927,28805,8540,33415,27127,37527
6/1/20,66120,165632,158355,NA,NA,191382,183594,233197,239638,258983,NA,NA,3910133,NA,3581534,28837,8555,33475,27127,37613
6/2/20,66485,166609,160092,NA,NA,190735,183879,233515,239932,260453,NA,NA,3962292,NA,3674232,28943,8563,33530,27127,37863
6/3/20,67031,167453,160938,NA,NA,187509,184121,233836,240326,261802,NA,NA,3999591,NA,3776246,29024,8602,33601,27128,38117
6/4/20,67510,167909,161895,NA,NA,191869,184472,234013,240660,263040,NA,NA,4049544,2822880,3875730,29069,8635,33689,27133,38247
6/5/20,68007,168480,163781,NA,NA,192450,184924,234531,240978,264150,NA,NA,4114572,NA,3978661,29114,8658,33774,27134,38505
6/6/20,68282,168958,165078,NA,NA,193022,185450,234801,241310,264944,NA,NA,4187057,NA,4072267,29145,8673,33846,27135,38648
6/7/20,68283,169224,165837,NA,NA,193363,185750,234998,241550,265662,2110797,4640967,4236535,NA,4159303,29158,8685,33899,27136,38702
6/8/20,68319,169556,166584,NA,NA,193637,186109,235278,241717,266756,NA,NA,4263647,NA,4264755,29213,8695,33964,27136,38749
6/9/20,68736,170129,168646,NA,NA,194190,186506,235561,241966,267915,NA,NA,4318650,NA,4359163,29301,8736,34043,27136,38946
6/10/20,69032,170630,169939,NA,NA,194815,186522,235763,242280,269101,NA,NA,4381349,NA,4460271,29322,8752,34114,27136,39110
6/11/20,69344,170961,171338,NA,NA,195179,186691,236142,242707,270108,NA,NA,4443821,3061738,4563309,29349,8772,34167,27136,39186
6/12/20,69578,171535,173085,NA,NA,195981,187226,236305,243209,271162,NA,NA,4514441,NA,4663013,29377,8783,34223,27136,39317
6/13/20,69783,171970,174865,NA,NA,196478,187267,236651,243605,272050,NA,NA,4564191,NA,4762842,29401,8793,34301,27136,39424
6/14/20,69820,172089,176370,NA,NA,196868,187518,236989,243928,272857,2328701,4968947,4620718,NA,4833223,29411,8801,34345,27136,39451
6/15/20,69719,172692,177010,NA,NA,197004,187682,237290,244109,273888,NA,NA,4648825,NA,4904625,29439,8807,34371,27136,39480
6/16/20,69943,172842,178526,NA,NA,197667,188252,237500,244328,274971,NA,NA,4695707,NA,4985487,29553,8820,34405,27136,39600
6/17/20,70223,173599,179455,NA,NA,198155,188604,237828,244683,275970,NA,NA,4773408,NA,5071925,29578,8851,34448,27136,39710
6/18/20,70322,173847,180544,NA,NA,198741,189817,238159,245268,276990,NA,NA,4831562,3290388,5165408,29606,8875,34514,27136,39777
6/19/20,70496,173972,181907,NA,NA,199528,190299,238011,245575,277974,NA,NA,4889103,NA,5255955,29620,8887,34561,28315,39861
6/20/20,70641,174609,182453,NA,NA,200147,190670,238275,245938,278640,NA,NA,4943825,NA,5339704,29638,8895,34610,28322,39932
6/21/20,70661,174740,182893,NA,NA,200490,191272,238499,246272,279264,2569115,5353781,4984370,NA,5400371,29644,8895,34634,28323,39963
6/22/20,70737,175143,183426,NA,NA,200632,191768,238720,246504,280156,NA,NA,5013342,NA,5466497,29668,8899,34657,28324,39976
6/23/20,70952,175825,184585,NA,NA,201330,192480,238833,246752,281038,NA,NA,5053827,NA,5540143,29722,8914,34675,28325,40070
6/24/20,71138,176422,186111,NA,NA,201598,192871,239410,247086,281815,NA,NA,5107093,NA,5631278,29735,8928,34644,28327,40157
6/25/20,71322,176764,186725,NA,NA,201853,193371,239706,247486,282512,NA,NA,5163154,3470130,5782973,29754,8940,34678,28330,40256
6/26/20,71550,177149,187615,NA,NA,203116,194036,239961,247905,283151,NA,NA,5215922,NA,5888944,29780,8965,34708,28338,40333
6/27/20,71455,177518,188584,NA,NA,203564,194458,240136,248469,283785,NA,NA,5277273,NA,5989575,29781,8968,34716,28341,40373
6/28/20,71455,177657,188891,NA,NA,203158,194693,240310,248770,284192,2872262,5826604,5314619,NA,6073492,29781,8968,34738,28343,40404
6/29/20,71595,177770,189196,NA,NA,203803,195042,240436,248970,284812,NA,NA,5341837,NA,6151618,29816,8976,34744,28346,40425
6/30/20,71714,178100,190248,NA,NA,204244,195418,240578,249271,285216,NA,NA,5390110,NA,6272682,29846,8990,34767,28355,40479
7/1/20,71879,179100,190717,NA,NA,205234,195893,240760,249659,285279,NA,NA,5445476,NA,6396219,29865,8995,34788,28364,40576
7/2/20,72054,179800,191083,NA,NA,205773,196370,240961,250103,285285,NA,NA,5498719,3644458,6532368,29878,9006,34818,28368,40617
7/3/20,72181,180300,191467,NA,NA,206312,196780,241184,250545,285787,NA,NA,5548815,NA,6671841,29896,9010,34833,28385,40666
7/4/20,72092,181000,191944,NA,NA,206670,197198,241419,250545,286412,NA,NA,5600826,NA,6786243,29896,9020,34854,28385,40698
7/5/20,72092,181719,192108,NA,NA,206681,197523,241611,250545,286931,3219099,6339573,5638288,NA,6879738,29895,9023,34861,28385,40717
7/6/20,72233,182160,192241,NA,NA,207699,198064,241819,251789,287290,NA,NA,5660454,NA,6957311,29925,9022,34869,28388,40728
7/7/20,72363,182661,192815,NA,NA,208153,198343,241956,252130,287874,NA,NA,5703673,NA,7064288,29936,9032,34899,28392,40782
7/8/20,72133,183153,193640,NA,NA,208975,198699,242149,252513,288511,NA,NA,5754116,NA,7191497,29967,9046,34914,28396,40839
7/9/20,72408,183728,193978,NA,NA,209419,199001,242363,253056,289154,NA,NA,5806668,3849701,7329538,29983,9057,34926,28401,40870
7/10/20,72396,184028,194273,NA,NA,210134,199332,242639,253908,289678,NA,NA,5854621,NA,7463671,30009,9063,34938,28403,40904
